directorio,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
7788491,1,1,3,5,6,2,2
7788493,1,1,1,1,6,1,1
7788494,1,1,1,1,6,1,1
7788496,1,1,1,5,6,2,1
7788497,1,1,1,1,4,1,1
7788498,1,1,1,1,4,1,1
7788501,1,1,1,1,4,1,1
7788503,1,1,1,1,4,1,1
7788504,1,1,1,1,4,1,1
7788505,1,1,1,1,4,1,1
7788506,1,1,1,1,4,2,2
7788509,1,1,1,1,4,2,2
7788510,1,1,1,1,6,1,1
7788511,1,1,1,1,4,1,1
7788512,1,1,1,1,4,1,1
7788513,1,1,1,1,6,1,1
7788515,1,1,1,1,4,1,1
7788516,1,1,1,5,6,2,1
7788517,1,1,1,5,6,1,1
7788519,1,1,3,1,4,1,1
7788521,1,1,1,1,4,1,1
7788522,1,1,1,1,4,1,1
7788523,1,1,1,1,4,1,1
7788525,1,1,1,1,4,1,1
7788529,1,1,1,1,4,1,2
7788530,1,1,1,1,4,1,1
7788531,1,1,1,1,4,1,1
7788533,1,1,1,1,4,1,2
7788534,1,1,1,1,4,1,1
7788535,1,1,1,1,6,1,1
7788536,1,1,2,1,7,2,1
7788537,1,1,1,1,4,1,1
7788539,1,1,1,1,4,1,1
7788542,1,1,1,1,4,1,1
7788544,1,1,1,1,4,1,1
7788545,1,1,1,1,4,1,1
7788546,1,1,1,1,4,1,1
7788549,1,1,1,1,4,2,2
7788551,1,1,3,4,7,2,2
7788553,1,1,1,1,4,1,1
7788556,1,1,1,5,6,2,2
7788557,1,1,1,1,4,1,1
7788558,1,1,1,1,4,1,1
7788559,1,1,1,1,4,2,2
7788560,1,1,1,1,4,2,2
7788561,1,1,1,1,4,1,1
7788562,1,1,1,1,6,2,2
7788563,1,1,3,5,6,2,2
7788564,1,1,1,4,6,1,1
7788566,1,1,3,1,4,2,2
7788567,1,1,3,1,6,2,2
7788568,1,1,1,1,6,1,1
7788569,1,1,1,1,6,1,1
7788571,1,1,1,1,6,2,1
7788572,1,1,1,1,6,1,1
7788574,1,1,1,1,6,2,1
7788575,1,1,1,1,6,2,1
7788576,1,1,3,1,4,2,2
7788578,1,1,1,5,7,1,1
7788579,1,1,1,1,6,1,1
7788581,1,1,2,1,6,2,1
7788582,1,1,3,1,6,2,2
7788583,1,1,3,5,6,2,2
7788584,1,1,1,1,6,1,1
7788586,1,1,1,1,4,2,2
7788588,1,1,1,1,6,2,1
7788589,1,1,1,1,6,1,1
7788590,1,1,1,1,4,1,1
7788591,1,1,1,1,4,1,1
7788592,1,1,1,1,6,1,1
7788593,1,1,1,1,6,1,1
7788594,1,1,1,1,6,1,1
7788595,1,1,3,5,6,2,2
7788596,1,1,3,3,4,2,2
7788597,1,1,3,1,6,2,2
7788598,1,1,1,5,6,2,2
7788599,1,1,3,1,4,2,1
7788600,1,1,2,1,4,2,1
7788601,1,1,1,1,4,1,1
7788604,1,1,2,1,6,2,1
7788605,1,1,2,1,6,2,1
7788606,1,1,1,1,6,1,1
7788607,1,1,2,1,4,1,1
7788609,1,1,1,1,4,2,2
7788611,1,1,2,1,6,1,1
7788613,1,1,3,1,4,2,1
7788615,1,1,1,1,6,1,1
7788617,1,1,1,1,4,1,1
7788619,1,1,1,1,6,2,2
7788622,1,1,1,1,4,1,1
7788624,1,1,1,1,4,1,1
7788625,1,1,1,1,4,1,1
7788627,1,1,1,1,4,1,1
7788628,1,1,2,1,4,1,1
7788629,1,1,1,1,4,1,1
7788630,1,1,1,1,6,1,2
7788631,1,1,1,1,4,1,1
7788633,1,1,2,3,6,1,1
