DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;P3;P4005;P4015;P8520S3;P8520S5
7000389;1;1;1;1;6;1;1
7000390;1;1;1;1;6;1;1
7000391;1;1;1;1;4;1;1
7000393;1;1;1;1;4;1;1
7000394;1;1;1;1;6;1;1
7000395;1;1;1;1;4;1;1
7000396;1;1;1;1;4;1;1
7000397;1;1;1;1;4;1;1
7000398;1;1;1;1;4;1;1
7000399;1;1;1;1;4;1;1
7000400;1;1;1;1;4;1;1
7000401;1;1;1;1;4;1;1
7000403;1;1;1;1;6;1;1
7000404;1;1;1;1;6;1;1
7000405;1;1;1;1;4;1;1
7000406;1;1;1;1;6;1;1
7000407;1;1;1;1;6;1;1
7000408;1;1;1;1;4;1;1
7000409;1;1;1;1;4;1;1
7000410;1;1;1;1;5;1;1
7000411;1;1;1;1;4;1;1
7000412;1;1;1;1;4;1;1
7000413;1;1;1;1;4;1;1
7000414;1;1;1;1;4;1;1
7000417;1;1;1;1;4;1;1
7000418;1;1;1;1;4;1;1
7000419;1;1;1;1;4;1;1
7000420;1;1;1;1;4;1;1
7000421;1;1;1;1;4;1;1
7000422;1;1;1;1;4;1;1
7000423;1;1;1;1;4;1;1
7000424;1;1;1;1;4;1;1
7000425;1;1;1;1;4;1;1
7000426;1;1;1;1;4;1;1
7000427;1;1;1;3;4;1;1
7000428;1;1;1;1;4;1;1
7000429;1;1;1;1;4;1;1
7000430;1;1;1;1;4;1;1
7000431;1;1;1;1;4;1;1
7000432;1;1;1;1;4;1;1
7000433;1;1;1;1;4;1;1
7000434;1;1;1;1;4;1;1
7000435;1;1;1;1;1;1;1
7000436;1;1;1;1;4;1;1
7000437;1;1;1;1;4;1;1
7000438;1;1;1;1;4;1;1
7000439;1;1;1;1;4;1;1
7000440;1;1;1;1;4;1;1
7000441;1;1;1;1;4;1;1
7000443;1;1;1;1;4;1;1
7000444;1;1;1;1;4;1;1
7000445;1;1;1;1;4;1;1
7000446;1;1;1;1;4;1;1
7000447;1;1;1;1;4;1;1
7000448;1;1;1;1;4;1;1
7000449;1;1;1;1;4;1;1
7000450;1;1;1;1;4;1;1
7000451;1;1;1;1;6;1;1
7000452;1;1;1;1;4;1;1
7000453;1;1;1;1;4;1;1
7000454;1;1;1;1;4;1;1
7000486;1;1;1;1;6;2;1
7000487;1;1;1;5;6;2;1
7000488;1;1;1;8;7;2;1
7000489;1;1;1;1;4;2;1
7000490;1;1;1;1;4;1;1
7000491;1;1;1;1;4;1;1
7000492;1;1;1;1;4;1;1
7000493;1;1;1;1;4;1;1
7000494;1;1;1;1;6;1;1
7000495;1;1;1;1;6;1;1
7000496;1;1;1;5;6;1;1
7000498;1;1;1;1;6;1;1
7000500;1;1;1;1;6;1;1
7000501;1;1;1;6;4;1;1
7000502;1;1;1;1;6;1;1
7000503;1;1;1;1;4;1;1
7000505;1;1;1;1;4;1;1
7000508;1;1;1;1;6;1;1
7000509;1;1;1;8;7;1;2
7000510;1;1;1;8;6;1;1
7000511;1;1;1;8;7;1;2
7000513;1;1;1;8;7;1;2
7000514;1;1;1;5;7;1;2
7000519;1;1;1;1;4;1;1
7000521;1;1;1;1;6;1;2
7000522;1;1;1;1;6;1;2
7000523;1;1;1;5;6;2;2
7000524;1;1;1;1;4;1;1
7000525;1;1;1;1;4;1;1
7000526;1;1;1;1;4;1;1
7000527;1;1;1;1;4;1;1
7000528;1;1;1;1;4;1;2
7000529;1;1;1;1;4;1;1
7000530;1;1;1;1;4;1;1
7000531;1;1;1;1;4;1;1
7000532;1;1;1;1;4;1;1
7000534;1;1;1;1;6;1;1
7000535;1;1;1;1;4;1;1
7000536;1;1;1;1;4;1;2
7000537;1;1;1;1;6;1;1
7000538;1;1;1;5;6;1;1
7000540;1;1;1;1;4;1;1
7000541;1;1;1;1;6;1;1
7000542;1;1;1;1;4;1;1
7000543;1;1;1;1;4;1;1
7000544;1;1;1;1;4;1;1
7000545;1;1;1;1;6;1;1
7000546;1;1;1;1;6;1;1
7000547;1;1;1;1;6;2;1
7000548;1;1;1;1;6;1;1
7000549;1;1;1;1;4;1;1
7000550;1;1;1;1;4;1;1
7000552;1;1;1;1;6;1;1
7000553;1;1;1;1;7;1;1
7000554;1;1;1;1;6;1;1
7000555;1;1;1;1;6;1;1
7000556;1;1;1;1;4;2;1
7000558;1;1;1;1;4;1;1
7000559;1;1;1;1;6;1;1
7000560;1;1;1;5;2;1;1
7000561;1;1;1;1;7;1;1
7000562;1;1;1;5;7;1;1
7000563;1;1;1;5;4;1;1
7000564;1;1;1;1;6;1;1
7000565;1;1;1;1;6;1;1
7000566;1;1;1;1;6;1;1
7000568;1;1;1;5;2;1;1
7000569;1;1;1;5;4;1;1
7000570;1;1;1;1;6;1;1
7000571;1;1;1;5;6;1;1
7000572;1;1;1;5;7;1;1
7000573;1;1;1;1;4;1;1
7000574;1;1;1;1;4;1;1
7000576;1;1;1;1;4;1;1
7000577;1;1;1;1;4;1;1
7000578;1;1;1;1;4;1;1
7000579;1;1;1;1;6;1;1
7000580;1;1;1;1;4;1;1
7000581;1;1;1;1;6;1;1
