DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;P3;P4005;P4015;P8520S3;P8520S5
7248141;1;1;1;1;4;1;1
7248142;1;1;1;1;4;1;1
7248143;1;1;1;1;4;1;1
7248144;1;1;1;1;4;1;1
7248145;1;1;1;1;4;1;1
7248146;1;1;1;1;4;1;1
7248147;1;1;1;1;4;1;1
7248148;1;1;1;1;2;1;1
7248149;1;1;1;1;2;1;1
7248150;1;1;1;1;2;1;1
7248151;1;1;1;1;4;1;1
7248153;1;1;1;1;2;1;1
7248154;1;1;3;1;4;2;1
7248155;1;1;3;1;2;1;1
7248156;1;1;3;1;4;2;1
7248158;1;1;3;6;4;2;1
7248159;1;1;3;1;4;1;1
7248170;1;1;1;1;4;1;1
7248171;1;1;1;1;4;1;1
7248172;1;1;1;1;6;1;1
7248173;1;1;1;1;4;1;1
7248174;1;1;1;1;4;1;1
7248175;1;1;1;1;4;1;1
7248176;1;1;1;1;4;1;1
7248177;1;1;1;1;4;1;1
7248178;1;1;1;1;4;1;1
7248179;1;1;1;1;4;1;1
7248180;1;1;1;1;4;1;1
7248181;1;1;1;1;6;1;1
7248182;1;1;1;1;4;1;1
7248183;1;1;1;1;4;1;1
7248184;1;1;1;1;4;1;1
7248185;1;1;1;1;4;1;1
7248186;1;1;1;1;1;1;1
7248187;1;1;1;1;4;1;1
7248188;1;1;1;1;6;1;1
7248189;1;1;1;1;4;1;1
7248190;1;1;1;1;4;1;1
7248191;1;1;1;1;4;1;1
7248194;1;1;1;1;4;1;1
7248195;1;1;1;1;4;1;1
7248196;1;1;1;1;4;1;1
7248197;1;1;1;1;4;1;1
7248198;1;1;1;1;4;1;1
7248199;1;1;1;1;4;1;1
7248200;1;1;1;1;4;1;1
7248202;1;1;1;2;4;1;1
7248203;1;1;1;1;4;1;1
7248204;1;1;1;1;4;1;1
7248206;1;1;1;1;4;1;1
7248208;1;1;1;1;4;1;1
7248209;1;1;1;1;4;1;1
7248215;1;1;1;1;4;1;1
7248216;1;1;1;1;4;1;1
