DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
7567566,1,1,1,1,6,1,1
7567567,1,1,1,1,6,1,1
7567569,1,1,1,1,6,1,1
7567570,1,1,1,1,6,1,1
7567572,1,1,1,1,4,1,1
7567573,1,1,1,1,6,1,1
7567574,1,1,1,1,4,1,1
7567576,1,1,1,1,6,1,1
7567577,1,1,1,1,6,1,1
7567578,1,1,1,1,6,1,1
7567579,1,1,1,1,6,1,1
7567580,1,1,1,1,6,1,1
7567581,1,1,1,1,6,1,1
7567582,1,1,1,1,6,1,1
7567583,1,1,1,1,4,1,1
7567584,1,1,1,1,4,1,1
7567585,1,1,1,1,6,1,1
7567586,1,1,1,1,4,1,1
7567587,1,1,1,1,6,1,1
7567588,1,1,1,1,6,1,1
7567589,1,1,1,1,6,1,1
7567591,1,1,1,1,6,1,1
7567592,1,1,1,1,6,1,1
7567593,1,1,1,5,6,1,1
7567594,1,1,1,1,6,1,1
7567595,1,1,1,5,6,1,1
7567596,1,1,1,5,7,1,1
7567597,1,1,1,1,6,1,1
7567598,1,1,1,1,4,1,1
7567599,1,1,1,5,7,1,1
7567601,1,1,1,1,7,1,1
7567602,1,1,1,1,6,1,1
7567603,1,1,1,1,6,1,1
7567604,1,1,1,1,6,1,1
7567607,1,1,1,1,6,1,1
7567608,1,1,1,1,6,1,1
7567609,1,1,1,1,4,1,1
7567610,1,1,1,1,3,1,1
7567612,1,1,1,1,4,1,1
7567613,1,1,1,1,4,1,1
7567615,1,1,1,1,4,1,1
7567616,1,1,1,1,4,1,1
7567617,1,1,1,1,4,1,1
7567618,1,1,1,1,4,1,1
7567619,1,1,1,1,4,1,1
7567620,1,1,1,1,4,1,1
7567624,1,1,1,1,4,1,1
7567625,1,1,1,1,4,1,1
7567629,1,1,1,1,6,1,1
7567630,1,1,1,1,6,1,1
7567631,1,1,1,1,6,1,1
7567632,1,1,1,1,4,1,1
7567633,1,1,1,1,4,1,1
7567634,1,1,1,1,4,1,1
7567635,1,1,1,1,6,1,1
7567637,1,1,1,9,7,1,1
7567639,1,1,1,9,6,1,1
7567641,1,1,1,5,7,1,1
7567643,1,1,1,1,6,1,1
7567646,1,1,1,1,6,1,1
7567647,1,1,1,1,6,1,1
7567649,1,1,1,1,6,1,1
7567650,1,1,1,1,6,1,1
7567652,1,1,1,1,6,1,1
7567653,1,1,1,1,4,1,1
7567654,1,1,1,1,4,1,1
7567655,1,1,1,1,6,1,1
7567656,1,1,1,1,6,1,1
7567657,1,1,1,1,6,1,1
7567658,1,1,1,1,4,1,1
7567659,1,1,1,1,4,1,1
7567660,1,1,1,1,4,1,1
7567661,1,1,1,1,6,1,1
7567662,1,1,1,1,4,1,1
7567663,1,1,1,1,4,1,1
7567664,1,1,1,1,4,1,1
7567665,1,1,1,1,6,1,1
7567666,1,1,1,1,4,1,1
7567667,1,1,1,3,6,1,1
7567668,1,1,1,1,4,1,1
7567669,1,1,1,1,4,1,1
7567671,1,1,1,1,4,1,1
7567672,1,1,1,1,4,1,1
7567673,1,1,1,1,4,1,1
7567674,1,1,1,1,4,1,1
7567676,1,1,1,1,4,1,1
7567677,1,1,1,1,4,1,1
7567678,1,1,1,1,6,1,1
7567680,1,1,1,1,4,1,1
7567681,1,1,1,1,4,1,1
7567682,1,1,1,1,4,1,1
7567684,1,1,1,1,4,1,1
7567685,1,1,1,1,4,1,1
7567686,1,1,1,1,4,1,1
7567687,1,1,1,1,6,1,1
7567689,1,1,1,1,6,1,1
7567690,1,1,1,1,4,1,1
7567691,1,1,1,1,6,1,1
7567693,1,1,1,1,4,1,1
7567694,1,1,1,1,4,1,1
7567696,1,1,1,1,4,1,1
7567697,1,1,1,3,6,1,1
7567698,1,1,1,1,4,1,1
7567699,1,1,1,1,6,1,1
7567702,1,1,1,1,6,1,1
7567703,1,1,1,1,4,1,1
7567704,1,1,1,1,6,1,1
7567705,1,1,1,1,6,1,1
7567706,1,1,1,1,4,1,1
7567707,1,1,1,1,6,1,1
7567708,1,1,1,1,6,1,1
7567710,1,1,1,1,6,1,1
7567711,1,1,1,1,6,1,1
7567712,1,1,1,1,6,1,1
7567713,1,1,1,1,6,1,1
7567714,1,1,1,3,6,1,1
7567716,1,1,1,1,4,1,1
